Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C001,"Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",,4.5 out of 5,"17,256 ratings",Not Available,"Reviewed in the United States on December 9, 2024",
C002,"Amazon Fire 7 tablet (newest model) 7” display, read and watch, under $80 with 10-hour battery life, 32 GB, Black",,4.4 out of 5,"18,002 ratings",Not Available,"Reviewed in the United States on August 5, 2023",
C003,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",$149.00 with 32 percent savings,4.5 out of 5,"7,369 ratings",In Stock,"Reviewed in the United States on November 22, 2024",10K+ boughtin past month
C004,"COOPERS Tablet 10 inch, Android 14 Tablet, 32GB ROM 1TB Expand Computer Tablets, Quad Core Processor 6000mAh Battery, 1280x800 IPS Touch Screen, 2+8MP Dual HD Camera, Bluetooth WiFi Tablet PC",$53.99,3.7 out of 5,"4,893 ratings",In Stock,"Reviewed in the United States on October 2, 2024",2K+ bought in past month
C005,"Tablet,10.1"" Android Tablet with Octa-core Processor 10GB RAM 128GB ROM HD IPS Touchscreen 8H Battery, Wi-Fi 6, BT 5.0, Dual Camera, Google Tablets 2024",$89.99 with 31 percent savings,4.4 out of 5,643 ratings,In Stock,"Reviewed in the United States on October 10, 2024",5K+ bought in past month
C006,"10 inch Tablet Android 13 Tablets, 6GB RAM 64GB ROM 512GB Expand, Quad-Core Processor, 1280x800 IPS HD Touch Screen, GPS, WiFi, Dual Camera, Bluetooth, 6000mAh Battery (Gray)",$52.99,3.6 out of 5,"1,932 ratings",In Stock,"Reviewed in the United States on April 11, 2024",2K+ bought in past month
C007,"New Amazon Fire HD 8 Kids tablet, ages 3-7 | 3GB memory, bright 8"" HD screen. Includes ad-free and exclusive content, parental controls and 13-hr battery, 32GB, Grape, (2024 release)",,4.5 out of 5,162 ratings,Not Available,"Reviewed in the United States on December 4, 2024",
C008,Tablet Android 14 Tablet 10 Inch Tablet 64GB Storage Tablets 8GB RAM 1024GB Expand 2MP+8MP Dual Camera 10 IN Tab Quad-Core Processor WiFi Bluetooth 6000MAH Battery 10.1'' IPS HD Touch Screen Tableta,$54.99,3.9 out of 5,"1,552 ratings",In Stock,"Reviewed in the United States on November 18, 2024",500+ bought in past month
C009,"Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)",,4.4 out of 5,"10,981 ratings",Only 14 left in stock - order soon.,"Reviewed in the United States on December 1, 2024",10K+ bought in past month
C010,"Samsung Galaxy Tab S6 Lite 10.4' 64GB WiFi Android Tablet, S Pen Included, Gaming Ready, Long Battery Life, Slim Metal Design, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive",$199.99 with 26 percent savings,4.5 out of 5,"1,050 ratings",In Stock,"Reviewed in the United States on August 25, 2024",6K+ boughtin past month
C011,"BYYBUO SmartPad A10_L Tablet 10.1 inch Android 13 Tablets, 4GB RAM 64GB ROM Quad-Core Processor 5000mAh Battery, 1280x800 IPS HD Touchscreen 5MP+8MP Camera, Bluetooth,WiFi (Grey)",$54.95 with 21 percent savings,3.8 out of 5,"2,125 ratings",In Stock,"Reviewed in the United States on December 5, 2024",2K+ bought in past month
C012,"New Amazon Fire HD 8 tablet, 8” HD Display, 3GB memory, 32GB, designed for portable entertainment, Black, (2024 release)",,4.3 out of 5,517 ratings,Not Available,"Reviewed in the United States on December 6, 2024",
C013,"YQSAVIOR Tablet, Android 12 10"" Tablet, 6GB RAM 128GB ROM 1TB Expansion with Case, Support 5G WiFi Wi-fi 6, IPS Touch Screen, Dual Cameras, BT5.0, 1PCS (Rose Gold)",$44.99 with 10 percent savings,3.7 out of 5,80 ratings,In Stock,"Reviewed in the United States on August 30, 2024",100+ boughtin past month
C014,"Android 14 Tablet,10 inch Tablet, Octa Core Processor, 10GB+64GB+512GB Expansion, 1280x800 HD IPS Display Screen, Wi-Fi6, Dual Camera, 6000mAh Battery Tablet PC,Support Widevine L1 Google Kids Space",$75.98,4.3 out of 5,83 ratings,In Stock,"Reviewed in the United States on September 28, 2024",500+ boughtin past month
